trn,dupe_count,id,n_trn
ChiCTR2000030333,2,tri00215,1
ChiCTR2000030333,2,tri00267,2
CTRI/2020/04/024846,2,tri01750,1
CTRI/2020/04/024846,2,tri03045,2
EUCTR2020-001172-15,2,tri03693,1
EUCTR2020-001172-15,2,tri03295,2
EUCTR2020-001236-10,2,tri00650,1
EUCTR2020-001236-10,2,tri03742,2
EUCTR2020-001254-22,2,tri00846,1
EUCTR2020-001254-22,2,tri01092,2
EUCTR2020-001264-28,2,tri02678,1
EUCTR2020-001264-28,2,tri01822,2
EUCTR2020-001335-28,2,tri00717,1
EUCTR2020-001335-28,2,tri00919,2
EUCTR2020-001345-38,2,tri01274,1
EUCTR2020-001345-38,2,tri02458,2
EUCTR2020-001370-30,2,tri01400,1
EUCTR2020-001370-30,2,tri03057,2
EUCTR2020-001411-25,3,tri02676,1
EUCTR2020-001411-25,3,tri03184,1
EUCTR2020-001411-25,3,tri01500,2
EUCTR2020-001497-30,2,tri02227,1
EUCTR2020-001497-30,2,tri03191,1
EUCTR2020-001591-15,2,tri02652,2
EUCTR2020-001591-15,2,tri03724,2
EUCTR2020-001644-25,2,tri02222,1
EUCTR2020-001644-25,2,tri01805,3
EUCTR2020-001870-32,2,tri02229,1
EUCTR2020-001870-32,2,tri03212,2
KCT0005105,2,tri00675,2
KCT0005105,2,tri02850,1
NCT04322123,2,tri02448,1
NCT04322123,2,tri02901,2
NCT04345276,2,tri00706,2
NCT04345276,2,tri02570,1
